       AccelerometerStat_x_DC_FFT  AccelerometerStat_y_DC_FFT  AccelerometerStat_z_DC_FFT
0                       17.997214                  185.478807                 1700.930672
1                       18.368315                  187.934062                 1719.146357
2                       18.039113                  201.099777                 1833.332425
3                       17.248428                  190.200173                 1736.922101
4                       17.255610                  188.763652                 1728.472958
5                       17.964892                  192.051490                 1754.944457
6                       17.449541                  189.141338                 1728.935052
7                       17.655442                  189.422058                 1728.113233
8                       18.019959                  189.909877                 1736.915524
9                       17.146075                  186.091125                 1702.057736
10                      16.911444                  187.431878                 1710.793580
11                      17.711706                  194.130256                 1772.034868
12                      17.075447                  186.426313                 1701.879978
13                      17.110761                  196.444850                 1789.937525
14                      16.575058                  192.531527                 1754.642192
15                      16.038757                  186.778859                 1701.341263
16                      17.220894                  188.384770                 1719.509679
17                      17.778145                  193.463471                 1763.275688
18                      17.375919                  189.034197                 1727.826525
19                      17.022176                  188.734922                 1719.603049
20                      17.260997                  187.269072                 1710.594263
21                      17.430387                  190.364775                 1737.430270
22                      17.270574                  187.177493                 1710.848057
23                      18.609531                  197.181067                 1799.592729
24                      17.798495                  189.038985                 1728.390966
25                      18.076223                  185.294454                 1692.849640
26                      18.778322                  194.317004                 1780.962844
27                      18.579005                  191.461918                 1745.802189
28                      13.775638                  189.244288                 1710.476950
29                      14.990695                  196.979953                 1781.255537
30                      14.274829                  195.037059                 1763.146989
31                      13.433267                  187.457016                 1692.949595
32                      14.408904                  202.123297                 1824.880887
33                      13.498509                  195.772676                 1764.256706
34                      13.188460                  194.311017                 1754.589515
35                      12.928689                  188.640949                 1702.146936
36                      13.352463                  191.475085                 1727.965983
37                      14.011467                  195.065191                 1763.525281
38                      14.890737                  196.792009                 1780.996358
39                      14.578294                  191.663030                 1737.518866
40                      14.652514                  187.896352                 1702.439618
41                      14.618397                  194.622264                 1763.339119
42                      14.906898                  197.665294                 1790.270304
43                      14.276026                  194.530086                 1754.952841
44                      13.546992                  200.072663                 1800.396583
45                      13.091495                  192.897839                 1738.705186
46                      13.101072                  193.289290                 1738.696820
47                      13.634380                  202.147837                 1818.323756
48                      13.105860                  193.332984                 1739.259440
49                      13.055582                  188.177670                 1694.948765
50                      13.994708                  200.724484                 1809.238962
51                      13.973160                  197.072129                 1774.212398
52                      12.699444                  191.926392                 1729.735317
53                      13.321338                  197.475553                 1783.520456
54                      11.445481                  193.069622                 1729.652114
55                      11.354501                  179.494499                 1615.088358
56                      11.844116                  193.290488                 1738.411892
57                      11.888409                  193.052863                 1737.975553
58                      11.723807                  189.444801                 1703.114178
59                      11.886613                  196.046812                 1764.417715
60                      12.596494                  200.938166                 1808.725406
61                      12.965799                  192.422590                 1738.175467
62                      13.375208                  201.552878                 1817.867066
63                      13.210606                  191.113561                 1728.675272
64                      11.980585                  186.033662                 1676.958124
65                      12.850878                  200.741843                 1817.866485
66                      13.266272                  197.731134                 1790.935316
67                      11.493365                  191.618137                 1720.460772
68                      18.051084                  195.118461                 1755.583713
69                      16.626534                  187.112250                 1684.173647
70                      17.128119                  189.842239                 1711.102429
71                      18.069040                  195.229192                 1755.885972
72                      17.689559                  193.853724                 1746.816149
73                      17.874511                  192.745807                 1738.242506
74                      18.116326                  192.973854                 1738.174881
75                      18.631079                  194.091348                 1746.621024
76                      17.617733                  191.171619                 1720.235125
77                      18.411411                  190.978886                 1720.715159
78                      17.890074                  189.415472                 1702.776007
79                      18.015171                  191.376323                 1720.324907
80                      13.180080                  194.193701                 1765.209001
81                      13.040020                  188.217774                 1711.630357
82                      14.593857                  187.444447                 1702.421057
83                      14.806940                  196.545406                 1782.699846
84                      14.337078                  189.316114                 1711.987688
85                       9.972449                  182.811663                 1721.355616
86                      12.860454                  185.366875                 1738.943414
87                      12.567165                  186.179109                 1738.518448
88                      12.470798                  181.457145                 1694.881729
89                      12.960412                  192.574021                 1800.301428
90                      12.492944                  182.266983                 1703.727699
91                      13.648745                  189.402902                 1765.210795
92                      14.173674                  187.794598                 1739.070909
93                      14.140754                  184.862299                 1712.484493
94                      15.684415                  185.221430                 1712.220532
95                      16.582840                  191.216511                 1764.907920
96                      15.201385                  187.151756                 1722.404272
97                      17.157448                  184.650414                 1702.686214
98                      19.348741                  194.271513                 1782.282645
99                      19.943102                  187.337307                 1710.988116
100                     19.704280                  188.013070                 1720.661876
101                     20.642807                  189.360407                 1728.605845
102                     20.008344                  188.855230                 1720.259652
103                     20.175938                  188.964765                 1720.957563
104                     20.736181                  191.397873                 1747.737915
105                     19.697696                  188.098663                 1712.693986
106                     19.787479                  187.429483                 1712.190006
107                     19.917364                  185.521903                 1694.991256
108                     20.078374                  187.776044                 1711.921856
109                     19.998168                  187.791008                 1711.465751
110                     14.975133                  194.145817                 1783.448635
111                     14.028226                  188.151934                 1711.936817
112                     13.524845                  187.610246                 1712.011641
113                     14.603433                  197.287010                 1799.583158
114                     13.056180                  184.884447                 1685.864556
115                     13.436859                  187.984938                 1711.937420
116                     13.790003                  189.457971                 1729.358225
117                      0.469862                  198.754047                 1710.913884
118                      0.309451                  199.304714                 1710.826508
119                      0.211288                  205.169909                 1755.384990
120                      1.479617                  198.475723                 1719.547977
121                      4.149750                  196.760875                 1710.793583
122                      8.346786                  196.611246                 1772.878821
123                      8.951920                  189.515431                 1711.472925
124                      9.030929                  190.816081                 1719.634779
125                     10.327988                  198.323100                 1790.379837
126                      9.680356                  189.107818                 1710.907905
127                      9.664794                  189.691405                 1720.153114
128                     10.214862                  194.248170                 1764.583512
129                     10.509348                  189.468744                 1719.307955
130                      2.420538                   42.690412                  387.910351
131                     10.782886                  194.127263                 1763.199065
132                     10.867281                  191.064480                 1737.151356
133                     10.423157                  188.860019                 1719.458793
134                     11.654375                  195.273487                 1772.470007
135                     10.820595                  190.907061                 1737.662511
136                     10.537480                  188.433252                 1710.875573
137                     11.256339                  199.202372                 1808.623066
138                     10.283096                  191.091415                 1737.181877
139                     10.363302                  191.300908                 1737.787607
140                     10.650008                  194.136241                 1763.356484
141                     10.319608                  190.067295                 1728.238938
142                     10.296863                  188.461983                 1719.639566
143                     15.163078                  197.374399                 1816.886038
144                     15.707160                  191.528955                 1764.488946
145                     14.856022                  184.834168                 1702.216359
146                     15.626356                  191.631307                 1763.595311
147                     15.889120                  188.655315                 1737.351870
148                     15.960347                  187.340299                 1728.777040
149                     16.262016                  191.348791                 1763.673119
150                     14.821904                  176.198283                 1622.920989
151                     24.249672                  182.374721                 1720.508051
152                     25.646090                  183.559253                 1737.388978
153                     26.226086                  186.058799                 1764.507509
154                     19.248783                  183.900428                 1711.198211
155                     20.879235                  188.915682                 1754.840304
156                     20.419548                  186.529859                 1737.540409
157                     20.140623                  183.502990                 1711.514834
158                     18.688540                  186.799806                 1738.595054
159                     21.587918                  186.923705                 1746.378010
160                     21.778856                  186.230584                 1737.612238
161                     20.949265                  188.165698                 1755.356261
162                     20.742166                  191.250029                 1781.609875
163                     17.894862                  187.751503                 1737.274057
164                     24.722527                  179.663288                 1702.292975
165                     27.084407                  185.221428                 1764.097488
166                     27.341185                  184.449298                 1756.066145
167                     26.694751                  179.800955                 1712.100227
168                     27.199927                  179.787787                 1711.286783
169                     27.198132                  179.008474                 1702.977118
170                     27.509378                  181.584635                 1729.758051
171                     27.737426                  182.754203                 1738.486125
172                     26.955719                  179.751275                 1711.672855
173                     27.942130                  180.740081                 1720.175256
174                     29.046455                  186.048026                 1772.731586
175                     27.787704                  181.096219                 1729.073301
176                     27.459100                  178.458407                 1702.529398
177                     29.466638                  190.600600                 1817.684508
178                     26.973675                  180.325285                 1720.866594
179                     26.980259                  181.684593                 1729.749075
180                     28.496388                  189.905085                 1808.995954
181                     26.721685                  178.613431                 1703.138126
182                     27.171795                  179.052767                 1703.530167
183                     28.796860                  188.141755                 1791.233379
184                     27.923575                  181.860568                 1738.614221
185                     27.744010                  180.396513                 1720.051952
186                     29.450477                  186.593904                 1781.573956
187                     28.941110                  184.847932                 1764.491345
188                     27.432165                  179.745888                 1712.178030
189                     28.397028                  183.827404                 1755.598672
190                     28.580783                  186.483771                 1782.288032
191                     28.044482                  178.251308                 1703.033987
192                     27.819427                  183.902821                 1756.014064
193                     28.522724                  184.365501                 1755.743515
194                     28.063037                  180.215751                 1720.819909
195                     27.827208                  185.583551                 1773.520458
196                     27.758375                  186.993137                 1782.970393
197                     27.323229                  180.026010                 1720.514649
198                     29.843725                  193.649616                 1843.413804
199                     16.229096                  197.610825                 1826.656195
200                     15.555128                  187.591690                 1729.275022
201                     15.342045                  188.988108                 1746.824524
202                     15.246875                  195.688282                 1808.128660
203                     14.368203                  185.357301                 1711.520827
204                     15.424644                  198.351233                 1825.869101
205                     14.989498                  194.666557                 1791.749322
206                     14.405912                  187.082923                 1720.876767
207                     14.604630                  190.969909                 1756.154130
208                     15.746665                  199.624948                 1835.117291
209                     14.440029                  188.500889                 1729.660498
210                     14.840459                  193.613108                 1782.241357
211                     11.112687                  184.898809                 1738.483727
212                     11.033678                  184.157803                 1729.743093
213                     11.835138                  183.003798                 1720.793563
214                     12.194268                  191.582821                 1799.987775
215                     11.829751                  184.627067                 1729.714372
216                     12.592902                  185.951060                 1747.276425
217                     12.451644                  184.090766                 1729.925648
218                     11.719617                  182.521366                 1712.419254
219                     11.941680                  185.290859                 1738.380179
220                     11.862072                  191.691757                 1800.394782
221                     11.814188                  185.406978                 1738.672266
222                     11.383830                  182.924191                 1712.750247
223                     12.127230                  190.105000                 1783.114047
224                     10.570400                  182.243041                 1703.629539
225                     10.055049                  165.131681                 1544.479165
226                     10.893019                  190.686193                 1783.233151
227                     11.905168                  187.983738                 1757.105232
228                     11.975797                  183.020558                 1711.723729
229                     12.324153                  189.432230                 1773.889782
230                     12.129624                  186.894975                 1747.470957
231                     12.352884                  184.927539                 1729.437841
232                     12.976573                  185.807408                 1738.476545
233                     11.575367                  188.467367                 1756.779009
234                     11.056423                  186.585525                 1739.628160
235                     11.954848                  188.454199                 1756.633568
236                     11.398794                  187.815546                 1747.551161
237                     12.503120                  192.459101                 1790.974795
238                     11.782465                  188.329101                 1756.298375
239                     14.112622                  187.683864                 1755.886577
240                     13.994707                  185.072389                 1729.459373
241                     13.872005                  185.968419                 1738.936830
242                     13.803770                  189.249672                 1766.601829
243                     12.085332                  185.982186                 1730.081283
244                     12.440871                  189.952970                 1764.791217
245                     11.795633                  188.228546                 1748.514237
246                     11.705252                  184.330188                 1712.810707
247                     12.225991                  188.063945                 1748.041374
248                     13.121422                  193.125886                 1792.322141
